,number,value,params_K,params_LAMBDA_2,params_freeze,params_gamma,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
59,59,1.4855201244354248,4,14,0,5,512,4.370616046378898e-05,densenet121,8,9,6,27,COMPLETE
60,60,1.5995862483978271,4,14,0,5,512,4.0702800583608844e-05,densenet121,9,10,4,27,COMPLETE
61,61,1.451241135597229,4,13,0,5,512,0.00013221545324684523,densenet121,8,9,6,25,COMPLETE
62,62,1.5694444179534912,4,16,0,5,512,2.576699980355221e-05,densenet121,8,9,6,25,COMPLETE
63,63,4.981382846832275,3,13,0,5,512,1.1002035283425286e-06,densenet121,8,8,6,27,COMPLETE
64,64,1.5434397459030151,4,15,0,5,512,5.3851772791153454e-05,densenet121,9,9,5,25,COMPLETE
65,65,2.052896022796631,5,8,0,5,512,3.916245947983144e-06,densenet121,8,10,6,29,COMPLETE
66,66,1.8643616437911987,3,20,-1,5,512,0.00014495430070214763,resnet34,7,8,6,26,COMPLETE
67,67,1.401004672050476,4,17,0,5,512,0.00030837047419195207,densenet121,6,10,5,27,COMPLETE
68,68,1.4453309774398804,7,17,0,5,512,0.0002826875065169538,densenet121,7,10,4,27,COMPLETE
69,69,1.4341017007827759,7,19,0,5,512,0.00030880316970215393,densenet121,6,10,4,23,COMPLETE
70,70,2.5706264972686768,7,19,-1,5,512,0.00034559731508237214,resnet50,6,10,4,23,COMPLETE
71,71,1.438829779624939,7,17,0,5,512,0.00030648718733094555,densenet121,7,10,4,24,COMPLETE
72,72,2.0434396266937256,8,17,0,5,512,0.0006060045669724636,densenet121,6,10,3,24,COMPLETE
73,73,1.497340440750122,7,19,0,5,512,0.0003329593202303211,densenet121,7,10,4,22,COMPLETE
74,74,1.5924941301345825,8,18,0,6,512,0.00011770011261432951,densenet121,6,10,3,25,COMPLETE
75,75,1.4867020845413208,7,17,0,5,512,0.0004713663415833027,densenet121,7,10,4,23,COMPLETE
76,76,1.7632979154586792,7,16,-1,6,512,0.00027864188602582854,densenet121,6,9,5,28,COMPLETE
77,77,2.1663711071014404,7,19,0,5,512,0.0009055155618454536,densenet121,6,10,3,24,COMPLETE
78,78,1.5192080736160278,8,18,0,5,512,0.00019654733632867082,resnet34,7,10,4,21,COMPLETE
79,79,1.8088061809539795,7,20,-1,6,512,0.00013318968191499423,densenet121,7,9,4,29,COMPLETE
80,80,1.4926122426986694,6,17,1,5,512,0.0004166786584684839,densenet121,5,10,5,25,COMPLETE
81,81,1.5292552709579468,8,15,0,5,512,0.00023035636780982513,densenet121,8,10,5,24,COMPLETE
82,82,1.5067967176437378,7,16,0,5,512,0.0006047089533848947,densenet121,6,10,4,23,COMPLETE
83,83,1.405141830444336,6,18,0,5,512,0.0002618351724161696,densenet121,6,10,5,21,COMPLETE
84,84,1.9276005029678345,6,18,0,5,512,0.00031544888268659273,resnet50,6,9,3,21,COMPLETE
85,85,1.4595153331756592,7,20,0,6,512,0.00017612631283468684,densenet121,7,10,5,27,COMPLETE
86,86,1.3880023956298828,6,19,0,5,512,0.00010108796456838198,densenet121,7,9,5,22,COMPLETE
87,87,1.6090425252914429,6,19,0,6,512,0.0012456751043151278,densenet121,6,10,4,22,COMPLETE
88,88,1.4453309774398804,6,18,1,5,512,9.651236432296462e-05,densenet121,7,7,4,21,COMPLETE
89,89,1.5458037853240967,6,19,1,5,512,6.371166785515628e-05,densenet121,7,7,3,20,COMPLETE
90,90,1.5753545761108398,6,18,1,5,512,0.00010373272724723468,densenet121,7,2,4,21,COMPLETE
91,91,1.4807919263839722,6,17,0,5,512,0.00026451061965896826,densenet121,7,7,5,22,COMPLETE
92,92,1.6090425252914429,6,18,0,5,512,0.0007245545867731863,densenet121,5,8,5,23,COMPLETE
93,93,1.5073877573013306,7,20,0,5,512,0.00039605131539388426,densenet121,6,8,4,20,COMPLETE
94,94,1.4287824630737305,6,16,0,5,512,0.0001728172639732386,densenet121,6,9,5,21,COMPLETE
95,95,2.2632977962493896,7,16,4,5,512,8.250289127623466e-05,densenet121,6,10,5,21,COMPLETE
96,96,1.5647163391113281,6,19,1,5,512,0.0001745828763148182,resnet34,7,9,4,22,COMPLETE
97,97,1.476063847541809,6,17,0,5,512,0.000534404484552365,densenet121,5,10,4,21,COMPLETE
98,98,1.6114065647125244,7,18,0,5,512,0.0002958550086608415,resnet50,7,9,5,20,COMPLETE
99,99,4.859042644500732,6,15,-1,5,512,0.04612370611713124,densenet121,6,10,5,22,COMPLETE
