,number,value,params_freeze,params_gamma,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
63,63,1.476063847541809,2,5,512,3.591308066530456e-05,densenet121,8,4,10,25,COMPLETE
64,64,1.6102246046066284,2,5,512,2.1973384189208876e-05,densenet121,8,4,10,25,COMPLETE
65,65,1.8365839719772339,3,5,512,9.042188885907623e-06,densenet121,9,4,10,28,COMPLETE
66,66,1.6811466217041016,2,5,512,3.933177476657968e-05,densenet121,7,3,9,24,COMPLETE
67,67,1.5741726160049438,3,6,512,8.54928238418162e-05,densenet121,8,4,10,28,COMPLETE
68,68,1.6504137516021729,2,5,512,0.00031713330173464794,resnet34,9,3,9,25,COMPLETE
69,69,1.4997044801712036,2,5,512,3.224693090331913e-05,resnet50,7,4,10,29,COMPLETE
70,70,1.4949764013290405,2,6,512,7.918979519376412e-05,densenet121,8,4,9,26,COMPLETE
71,71,1.5351654291152954,2,5,512,0.0001302549923798609,densenet121,8,5,10,24,COMPLETE
72,72,1.548758864402771,2,5,512,5.167846942183369e-05,densenet121,8,5,10,25,COMPLETE
73,73,1.8377659320831299,3,6,512,1.9171844012259686e-05,densenet121,9,6,10,23,COMPLETE
74,74,1.7851654291152954,2,5,512,1.2314982567932529e-05,densenet121,7,5,9,27,COMPLETE
75,75,1.4807919263839722,2,6,512,0.00016580809368564007,densenet121,8,3,9,26,COMPLETE
76,76,1.6468676328659058,2,6,224,0.00017544567703947837,densenet121,6,2,9,26,COMPLETE
77,77,1.5257092714309692,2,7,512,0.0002537113708566183,resnet34,9,3,8,25,COMPLETE
78,78,2.2231087684631348,1,5,512,0.0005729680367355139,resnet50,3,3,9,27,COMPLETE
79,79,1.5635342597961426,3,6,512,0.00012620173991584582,densenet121,7,4,4,26,COMPLETE
80,80,1.498522400856018,2,7,512,7.727269496018859e-05,densenet121,8,3,8,24,COMPLETE
81,81,1.8903664350509644,-1,5,512,3.5074805277135525e-05,densenet121,8,4,10,27,COMPLETE
82,82,1.4843380451202393,2,6,512,6.102573742739564e-05,densenet121,8,4,10,19,COMPLETE
83,83,1.4736998081207275,2,6,512,0.00015400138628326356,densenet121,9,4,10,25,COMPLETE
84,84,1.5830378532409668,2,6,512,0.0003467035290005659,densenet121,9,2,10,25,COMPLETE
85,85,1.4926122426986694,1,7,512,0.00020293635445560752,densenet121,10,3,9,23,COMPLETE
86,86,1.5375295877456665,2,5,512,9.920606114861155e-05,densenet121,10,4,9,26,COMPLETE
87,87,1.5954492092132568,1,6,224,0.00015008357298767238,densenet121,9,4,10,24,COMPLETE
88,88,1.620271921157837,2,6,512,0.0002162555735846412,resnet34,7,4,10,28,COMPLETE
89,89,1.8602246046066284,2,8,512,0.0006040453897231248,resnet50,8,3,9,25,COMPLETE
90,90,1.4671986103057861,1,5,512,0.0001090182412222358,densenet121,9,5,8,18,COMPLETE
91,91,1.5422576665878296,1,5,512,4.866592198418884e-05,densenet121,9,5,8,18,COMPLETE
92,92,1.5393025875091553,1,5,512,0.00011013267136723091,densenet121,9,5,8,18,COMPLETE
93,93,1.4713356494903564,1,5,512,0.00016028768877670316,densenet121,10,6,8,17,COMPLETE
94,94,1.4482860565185547,1,5,512,0.0004109528853346837,densenet121,10,7,7,17,COMPLETE
95,95,1.6533688306808472,1,5,512,0.0015035397084119293,densenet121,10,7,7,17,COMPLETE
96,96,1.5215721130371094,1,5,512,0.0004260315824155188,densenet121,10,7,7,17,COMPLETE
97,97,1.5475767850875854,1,5,512,0.0003163109774841383,resnet18,10,6,8,16,COMPLETE
98,98,1.6220449209213257,1,5,512,0.0009242274178500842,densenet121,10,8,7,15,COMPLETE
99,99,1.7183805704116821,1,5,512,0.00023840013866505898,densenet121,10,6,3,18,COMPLETE
