,number,value,params_freeze,params_gamma,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
64,64,1.5401180982589722,0,8,512,0.0002573116937742276,resnet18,9,6,3,25,COMPLETE
65,65,1.5392100811004639,1,7,512,7.09888458137638e-05,densenet121,10,7,5,29,COMPLETE
66,66,1.8011223077774048,-1,6,512,0.00021672044292589165,densenet121,9,7,3,30,COMPLETE
67,67,1.5002050399780273,1,7,512,0.00011601723222712585,densenet121,10,5,4,26,COMPLETE
68,68,1.6224652528762817,0,8,512,0.000433544022734966,densenet121,9,4,3,28,COMPLETE
69,69,1.6836110353469849,1,6,512,0.0008026135971969298,densenet121,10,6,4,27,COMPLETE
70,70,1.6915756464004517,0,10,512,0.0003177821957008704,resnet18,8,8,3,29,COMPLETE
71,71,1.5518845319747925,1,7,512,0.00013615342633875032,densenet121,10,5,4,26,COMPLETE
72,72,1.557775616645813,1,7,512,9.373747893881177e-05,densenet121,10,4,4,27,COMPLETE
73,73,1.5995728969573975,1,8,512,5.7858324448561876e-05,densenet121,10,5,5,26,COMPLETE
74,74,1.4944387674331665,0,7,512,0.00010976733965566611,densenet121,9,7,4,28,COMPLETE
75,75,11.204585075378418,0,6,512,1.1002035283425286e-06,densenet121,9,7,3,28,COMPLETE
76,76,1.552456021308899,0,7,512,3.952086026015906e-05,densenet121,7,7,4,29,COMPLETE
77,77,1.8421218395233154,-1,8,512,0.00017196515091741805,densenet121,9,6,6,28,COMPLETE
78,78,1.7952601909637451,0,9,512,0.0009728005208782691,densenet121,9,7,3,30,COMPLETE
79,79,1.563034176826477,0,7,512,1.7775836413125167e-05,densenet121,8,6,3,29,COMPLETE
80,80,1.6910676956176758,0,6,512,0.0005012254650928301,resnet18,9,8,2,28,COMPLETE
81,81,1.5638368129730225,1,7,512,0.00012590886208093603,densenet121,10,5,4,26,COMPLETE
82,82,1.5358716249465942,1,7,512,0.0002211360439262607,densenet121,10,7,5,27,COMPLETE
83,83,1.4965513944625854,1,8,512,0.00010051208798047546,densenet121,10,6,4,27,COMPLETE
84,84,1.5981918573379517,0,8,512,7.720093737589975e-05,densenet121,10,6,5,29,COMPLETE
85,85,1.5189894437789917,0,8,512,0.00031751098446414997,densenet121,10,7,3,28,COMPLETE
86,86,1.425538420677185,1,8,512,0.0001605286460256687,densenet121,9,6,4,25,COMPLETE
87,87,1.6237634420394897,1,8,512,6.35172595658282e-05,densenet121,8,6,4,25,COMPLETE
88,88,1.5215493440628052,1,9,512,0.00014474416137781496,resnet34,9,7,9,29,COMPLETE
89,89,1.5762356519699097,1,9,512,0.00010251326227029699,densenet121,9,6,2,23,COMPLETE
90,90,1.6341620683670044,1,8,512,4.9329173076442116e-05,densenet121,9,7,3,25,COMPLETE
91,91,1.5897736549377441,0,8,512,0.00021834848996156786,densenet121,10,6,4,27,COMPLETE
92,92,1.5645674467086792,0,8,512,0.0001615096839292039,densenet121,10,6,4,24,COMPLETE
93,93,1.4925569295883179,1,8,512,0.0003592999870699709,densenet121,9,6,4,27,COMPLETE
94,94,1.5432586669921875,1,8,512,0.0003536648844108182,densenet121,9,7,3,28,COMPLETE
95,95,1.6182303428649902,1,8,512,0.0005765147798418384,densenet121,8,6,4,27,COMPLETE
96,96,1.5889774560928345,1,6,512,0.00029051348894869637,densenet121,9,10,3,26,COMPLETE
97,97,1.7462542057037354,2,7,512,2.861070663287736e-05,densenet121,9,6,5,28,COMPLETE
98,98,1.6406333446502686,1,8,512,0.00041926375111930365,densenet121,8,5,3,27,COMPLETE
99,99,1.6268393993377686,1,6,512,9.916210323612726e-05,densenet121,4,7,4,29,COMPLETE
